bib_id,title,note_num,note,type,source
17517402,"Emigration : report of commissioners : return to an address to His Majesty, dated 11 August 183 : copies of any reports from the Commissioners for Emigration to the Secretary of State for the Colonial Department, since the last session of parliament.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517402,"Emigration : report of commissioners : return to an address to His Majesty, dated 11 August 183 : copies of any reports from the Commissioners for Emigration to the Secretary of State for the Colonial Department, since the last session of parliament.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517402,"Emigration : report of commissioners : return to an address to His Majesty, dated 11 August 183 : copies of any reports from the Commissioners for Emigration to the Secretary of State for the Colonial Department, since the last session of parliament.",3,Title from publisher's website.,,daniel
17517403,Memorandum [from the Admiralty Office].,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517403,Memorandum [from the Admiralty Office].,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517403,Memorandum [from the Admiralty Office].,3,Title from publisher's website.,,daniel
17517404,General order no. 504.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517404,General order no. 504.,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517404,General order no. 504.,3,Title from publisher's website.,,daniel
17517405,Supplement to the London Gazette of Tuesday the 27th of March.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517405,Supplement to the London Gazette of Tuesday the 27th of March.,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517405,Supplement to the London Gazette of Tuesday the 27th of March.,3,Title from publisher's website.,,daniel
17517406,Provisions for the voyage from Liverpool to New York in Fitzhugh and C. Grimshaw's ships for each adult.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517406,Provisions for the voyage from Liverpool to New York in Fitzhugh and C. Grimshaw's ships for each adult.,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517406,Provisions for the voyage from Liverpool to New York in Fitzhugh and C. Grimshaw's ships for each adult.,3,Title from publisher's website.,,daniel
17517407,"A plan of emigration which would give employment to every person in the country capable of labour, and at the same time relieve the burdens of the state.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517407,"A plan of emigration which would give employment to every person in the country capable of labour, and at the same time relieve the burdens of the state.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517407,"A plan of emigration which would give employment to every person in the country capable of labour, and at the same time relieve the burdens of the state.",3,Title from publisher's website.,,daniel
17517408,Notice to pensioners.,1,Caption title.,,daniel
17517408,Notice to pensioners.,2,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517408,Notice to pensioners.,3,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517409,Blank cork certificate to be given to the female emigrants.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517409,Blank cork certificate to be given to the female emigrants.,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517409,Blank cork certificate to be given to the female emigrants.,3,Title from publisher's website.,,daniel
17517410,"Suggestions for the arrangement of a cheap, regular, and efficacious plan of emigration for the poor : submitted in a letter / from Henry Burgess to the Duke of Richmond.",1,Caption title.,,daniel
17517410,"Suggestions for the arrangement of a cheap, regular, and efficacious plan of emigration for the poor : submitted in a letter / from Henry Burgess to the Duke of Richmond.",2,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517410,"Suggestions for the arrangement of a cheap, regular, and efficacious plan of emigration for the poor : submitted in a letter / from Henry Burgess to the Duke of Richmond.",3,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517411,"A meeting was held at the Mansion House, Newbury, on Thursday the 8th of March, 1832, for the purpose of forming a society for promoting enquiry respecting emigration.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517411,"A meeting was held at the Mansion House, Newbury, on Thursday the 8th of March, 1832, for the purpose of forming a society for promoting enquiry respecting emigration.",2,Signed Frederick Page and G. Barnes.,,daniel
17517411,"A meeting was held at the Mansion House, Newbury, on Thursday the 8th of March, 1832, for the purpose of forming a society for promoting enquiry respecting emigration.",3,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517412,For the information of persons intending to settle in Upper Canada.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517412,For the information of persons intending to settle in Upper Canada.,2,Signed by A. C. Buchanan.,,daniel
17517412,For the information of persons intending to settle in Upper Canada.,3,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517413,"A rural code for the use of the old & new inhabitants of Lower-Canada : concerning their religious and civil duties, according to the laws in force in the country / by Jos. F. Perrault.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517413,"A rural code for the use of the old & new inhabitants of Lower-Canada : concerning their religious and civil duties, according to the laws in force in the country / by Jos. F. Perrault.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517414,Canada Company : estimate of share values.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517414,Canada Company : estimate of share values.,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517414,Canada Company : estimate of share values.,3,Title from publisher's website.,,daniel
17517415,"Emigration, c.1832.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517415,"Emigration, c.1832.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517415,"Emigration, c.1832.",3,Title from publisher's website.,,daniel
17517416,"An address to the working classes, upon their present condition, and the best means of bettering it : with the letters of William Vines, an emigrant from Stroud, containing an account of his last three years' life in the United States, and other emigrants.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517416,"An address to the working classes, upon their present condition, and the best means of bettering it : with the letters of William Vines, an emigrant from Stroud, containing an account of his last three years' life in the United States, and other emigrants.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517416,"An address to the working classes, upon their present condition, and the best means of bettering it : with the letters of William Vines, an emigrant from Stroud, containing an account of his last three years' life in the United States, and other emigrants.",3,Title from publisher's website.,,daniel
17517417,"An address to magistrates, landowners and rate-payers.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517417,"An address to magistrates, landowners and rate-payers.",2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517417,"An address to magistrates, landowners and rate-payers.",3,Title from publisher's website.,,daniel
17517418,Letters and extracts of letters from Swan River.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517418,Letters and extracts of letters from Swan River.,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517418,Letters and extracts of letters from Swan River.,3,Title from publisher's website.,,daniel
17517419,Information to persons desirous of emigrating from this neighbourhood to Upper Canada.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517419,Information to persons desirous of emigrating from this neighbourhood to Upper Canada.,2,"This document is part of CO 384/30 from The National Archives, UK.",,daniel
17517419,Information to persons desirous of emigrating from this neighbourhood to Upper Canada.,3,Title from publisher's website.,,daniel
17517420,"From Martin Martin, late of Felpham, Sussex, carpenter, who emigrated with the Petworth party to Upper Canada, and sailed from Portsmouth in the ship Lord Melville, April 11th, 1832, taking with him his wife and six children.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
